City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Evinayong,GQ,2022-01-07 17:27:27,1.4368,10.5512,73.54,82,98,2.42
217,Tiarei,PF,2022-01-07 17:23:11,-17.5333,-149.3333,80.62,73,17,3.74
218,Micheweni,TZ,2022-01-07 17:27:27,-4.9667,39.8333,81.97,78,98,14.9
219,Seoul,KR,2022-01-07 17:27:27,37.5683,126.9778,22.44,74,0,1.14
220,Dekar,BW,2022-01-07 17:27:28,-21.5333,21.9333,84.72,38,97,15.84
221,Adana,TR,2022-01-07 17:27:28,36.985,35.2881,57.22,72,20,1.14
222,Codrington,AU,2022-01-07 17:27:29,-38.2667,141.9667,60.33,95,100,11.1
223,Chuy,UY,2022-01-07 17:27:29,-33.6971,-53.4616,78.3,44,57,13.65
224,Hithadhoo,MV,2022-01-07 17:27:30,-0.6,73.0833,82.27,71,100,7.45
225,Magadan,RU,2022-01-07 17:27:30,59.5667,150.8,9.54,77,45,11.43
226,Ribeira Brava,PT,2022-01-07 17:27:30,32.65,-17.0667,66.7,83,56,8.5
227,Antalaha,MG,2022-01-07 17:27:31,-14.9003,50.2788,72.68,96,100,8.28
228,Dukat,RU,2022-01-07 17:27:31,62.55,155.55,-6.2,98,61,3.62
229,Kendari,ID,2022-01-07 17:27:31,-3.945,122.4989,75.29,94,100,4.12
230,Jiayuguan,CN,2022-01-07 17:28:32,39.8167,98.3,24.21,38,100,2.13
231,Tuatapere,NZ,2022-01-07 17:28:32,-46.1333,167.6833,47.7,95,88,2.26
232,Isangel,VU,2022-01-07 17:28:33,-19.55,169.2667,77.36,72,98,8.79
233,Trujillo,PE,2022-01-07 17:23:53,-8.116,-79.03,69.76,88,100,9.22
234,Fortuna,US,2022-01-07 17:28:33,40.5982,-124.1573,51.66,96,75,0.0
235,Dharampur,IN,2022-01-07 17:28:34,20.5333,73.1833,68.05,82,0,3.87
236,Marawi,PH,2022-01-07 17:28:34,7.9986,124.2928,66.65,97,61,1.61
237,Kampot,KH,2022-01-07 17:28:34,10.6167,104.1833,77.05,78,51,2.98
238,Oyama,JP,2022-01-07 17:28:35,36.3,139.8,43.54,50,0,2.19
239,Rawson,AR,2022-01-07 17:28:35,-43.3002,-65.1023,89.49,28,1,6.33
240,Touros,BR,2022-01-07 17:28:35,-5.1989,-35.4608,88.7,61,34,12.62
241,Buchanan,LR,2022-01-07 17:28:36,5.8808,-10.0467,87.76,70,48,11.03
242,Santiago Del Estero,AR,2022-01-07 17:28:36,-27.7951,-64.2615,91.8,16,0,6.2
243,Kudahuvadhoo,MV,2022-01-07 17:28:37,2.6708,72.8944,81.99,77,81,12.57
244,Abulug,PH,2022-01-07 17:28:37,18.4453,121.4533,72.86,88,82,4.18
245,Gat,IL,2022-01-07 17:28:38,31.61,34.7642,60.4,100,0,1.59
246,Sosnovo-Ozerskoye,RU,2022-01-07 17:28:41,52.5249,111.5418,-2.09,98,73,6.69
247,Truro,GB,2022-01-07 17:28:42,50.2653,-5.0544,49.28,76,40,24.16
248,Natal,BR,2022-01-07 17:24:08,-5.795,-35.2094,88.45,66,40,14.97
249,Thunder Bay,CA,2022-01-07 17:28:03,48.4001,-89.3168,-0.71,73,19,2.75
250,Salalah,OM,2022-01-07 17:28:43,17.0151,54.0924,71.69,28,0,9.22
251,Dezful,IR,2022-01-07 17:28:44,32.3811,48.4058,57.15,45,39,2.04
252,Sirjan,IR,2022-01-07 17:28:44,29.452,55.6814,39.38,44,0,4.45
253,Sivaki,RU,2022-01-07 17:28:45,52.6333,126.75,-18.53,100,8,4.03
254,Dingle,PH,2022-01-07 17:28:45,10.9995,122.6711,72.99,91,41,6.26
255,Lahij,YE,2022-01-07 17:28:45,13.1667,44.5833,71.73,77,93,8.77
256,Panaba,MX,2022-01-07 17:28:46,21.2833,-88.2667,83.82,40,0,8.34
257,Pasighat,IN,2022-01-07 17:28:46,28.0667,95.3333,60.48,49,5,4.09
258,Orange Cove,US,2022-01-07 17:28:46,36.6244,-119.3137,56.44,63,17,0.96
259,Dong Hoi,VN,2022-01-07 17:28:47,17.4833,106.6,69.37,89,27,2.48
260,Chumikan,RU,2022-01-07 17:28:47,54.7183,135.315,-10.39,88,97,20.09
261,Alta Floresta,BR,2022-01-07 17:28:47,-9.8756,-56.0861,85.82,70,40,10.36
262,Urumqi,CN,2022-01-07 17:28:48,43.801,87.6005,11.35,85,49,2.24
